annotation_id	type	meta	char_range
1	gap	{"reason": "unintelligible"}	[38,39)
2	pause	{}	[113,114)
3	pause	{}	[135,136)
4	pause	{}	[153,154)
5	pause	{}	[211,212)
6	pause	{}	[263,264)
7	pause	{}	[273,274)
8	pause	{}	[308,309)
9	pause	{}	[385,386)
10	pause	{}	[483,484)
11	pause	{}	[529,530)
12	pause	{}	[736,737)
13	pause	{}	[811,812)
14	pause	{}	[845,846)
15	pause	{}	[860,861)
16	pause	{}	[927,928)
17	pause	{}	[1051,1052)
18	pause	{}	[1083,1084)
19	pause	{}	[1123,1124)
20	pause	{}	[1217,1218)
21	pause	{}	[1296,1297)
22	pause	{}	[1373,1374)
23	pause	{}	[1470,1471)
24	gap	{"reason": "unintelligible"}	[1487,1488)
25	pause	{}	[1509,1510)
26	pause	{}	[1524,1525)
27	pause	{}	[1545,1546)
28	pause	{}	[1579,1580)
29	gap	{"reason": "unintelligible"}	[1580,1581)
30	pause	{}	[1624,1625)
31	pause	{}	[1632,1633)
32	pause	{}	[1700,1701)
33	pause	{}	[1738,1739)
34	pause	{}	[1895,1896)
35	pause	{}	[2101,2102)
36	pause	{}	[2308,2309)
37	pause	{}	[2352,2353)
38	pause	{}	[2585,2586)
39	pause	{}	[2780,2781)
40	pause	{}	[2997,2998)
41	pause	{}	[3115,3116)
42	pause	{}	[3181,3182)
43	pause	{}	[3334,3335)
44	pause	{}	[3396,3397)
45	pause	{}	[3444,3445)
46	pause	{}	[3536,3537)
47	pause	{}	[3561,3562)
48	pause	{}	[3593,3594)
49	pause	{}	[3642,3643)
50	pause	{}	[3680,3681)
51	gap	{"reason": "unintelligible"}	[3681,3682)
52	pause	{}	[3736,3737)
53	pause	{}	[3776,3777)
54	pause	{}	[3785,3786)
55	pause	{}	[3927,3928)
56	pause	{}	[4102,4103)
57	pause	{}	[4132,4133)
58	pause	{}	[4203,4204)
59	pause	{}	[4213,4214)
60	pause	{}	[4224,4225)
61	pause	{}	[4267,4268)
62	pause	{}	[4302,4303)
63	pause	{}	[4361,4362)
64	pause	{}	[4392,4393)
65	pause	{}	[4601,4602)
66	gap	{"reason": "unintelligible"}	[4617,4618)
67	pause	{}	[4678,4679)
68	pause	{}	[4696,4697)
69	pause	{}	[4731,4732)
70	pause	{}	[4819,4820)
71	gap	{"reason": "unintelligible"}	[4832,4833)
72	pause	{}	[5049,5050)
73	pause	{}	[5318,5319)
74	pause	{}	[5374,5375)
75	pause	{}	[5381,5382)
76	pause	{}	[5714,5715)
77	pause	{}	[5766,5767)
78	gap	{"reason": "unintelligible"}	[5779,5780)
79	pause	{}	[5791,5792)
80	pause	{}	[6084,6085)
81	pause	{}	[6123,6124)
82	pause	{}	[6191,6192)
83	pause	{}	[6227,6228)
84	pause	{}	[6468,6469)
85	pause	{}	[6553,6554)
86	pause	{}	[6653,6654)
87	gap	{"reason": "unintelligible"}	[6729,6730)
88	pause	{}	[6942,6943)
89	gap	{"reason": "unintelligible"}	[6943,6944)
90	pause	{}	[6995,6996)
91	pause	{}	[7045,7046)
92	pause	{}	[7079,7080)
93	pause	{}	[7252,7253)
94	pause	{}	[7314,7315)
95	gap	{"reason": "unintelligible"}	[7535,7536)
96	pause	{}	[7597,7598)
97	pause	{}	[7640,7641)
98	pause	{}	[8085,8086)
99	pause	{}	[8177,8178)
100	pause	{}	[8238,8239)
101	pause	{}	[8264,8265)
102	pause	{}	[8922,8923)
103	pause	{}	[9085,9086)
104	pause	{}	[9130,9131)
105	pause	{}	[9180,9181)
106	gap	{"reason": "unintelligible"}	[9274,9275)
107	pause	{}	[9668,9669)
108	pause	{}	[9749,9750)
109	pause	{}	[9860,9861)
110	pause	{}	[9900,9901)
111	pause	{}	[9918,9919)
112	pause	{}	[9984,9985)
113	pause	{}	[10147,10148)
114	pause	{}	[10275,10276)
115	pause	{}	[10506,10507)
116	gap	{"reason": "unintelligible"}	[10597,10598)
117	gap	{"reason": "unintelligible"}	[10669,10670)
118	pause	{}	[10754,10755)
119	pause	{}	[10793,10794)
120	pause	{}	[11090,11091)
121	pause	{}	[11140,11141)
122	pause	{}	[11315,11316)
123	gap	{"reason": "unintelligible"}	[11316,11317)
124	pause	{}	[11338,11339)
125	pause	{}	[11605,11606)
126	pause	{}	[11702,11703)
127	gap	{"reason": "unintelligible"}	[11746,11747)
128	pause	{}	[11853,11854)
129	pause	{}	[12156,12157)
130	gap	{"reason": "unintelligible"}	[12578,12579)
131	gap	{"reason": "unintelligible"}	[12616,12617)
132	pause	{}	[12635,12636)
133	pause	{}	[12666,12667)
134	pause	{}	[12802,12803)
135	pause	{}	[12808,12809)
136	pause	{}	[12834,12835)
137	gap	{"reason": "unintelligible"}	[12865,12866)
138	pause	{}	[12897,12898)
139	pause	{}	[13083,13084)
140	pause	{}	[13141,13142)
141	pause	{}	[13222,13223)
142	pause	{}	[13473,13474)
143	pause	{}	[13615,13616)
144	pause	{}	[13835,13836)
145	pause	{}	[13968,13969)
146	gap	{"reason": "unintelligible"}	[14127,14128)
147	pause	{}	[14280,14281)
148	pause	{}	[14311,14312)
149	pause	{}	[14347,14348)
