document_id	name	who_id	transcriptor	tool	transcription_phase	normalisation	char_range	frame_range	media
1	Transcription 1007	EJos1007	Peters	Nisus Writer	1	manual	[1,45716)	[1,101902)	{"audio": "1007.wav"}
2	Transcription 1048	WRos1048	Peters	Nisus Writer	1	manual	[45716,108916)	[101902,250433)	{"audio": "1048.wav"}
3	Transcription 1053	OJos1053	Aepli	Exmaralda	4	automatic	[108916,176485)	[250433,379068)	{"audio": "1053.wav"}
4	Transcription 1055	DFul1055	Aepli	Exmaralda	3	automatic	[176485,217978)	[379068,469942)	{"audio": "1055.wav"}
5	Transcription 1063	HEll1063	Peters	Nisus Writer	1	manual	[217978,279038)	[469942,611966)	{"audio": "1063.wav"}
6	Transcription 1073	PRos1073	Peters	Nisus Writer	1	automatic	[279038,346964)	[611966,774736)	{"audio": "1073.wav"}
7	Transcription 1075	SErh1075	Peters	Nisus Writer	1	automatic	[346964,398596)	[774736,903351)	{"audio": "1075.wav"}
8	Transcription 1082_1	WTru1082	MÃ¤chler	FOLKER	2	automatic	[398596,407811)	[903351,927293)	{"audio": "1082_1.wav"}
9	Transcription 1082_2	WTru1082	MÃ¤chler	FOLKER	2	automatic	[407811,432878)	[927293,994696)	{"audio": "1082_2.wav"}
10	Transcription 1082_3	WTru1082	MÃ¤chler	FOLKER	2	automatic	[432878,453174)	[994696,1050164)	{"audio": "1082_3.wav"}
11	Transcription 1083_1	ZHel1083	MÃ¤chler	FOLKER	2	automatic	[453174,476536)	[1050164,1117314)	{"audio": "1083_1.wav"}
12	Transcription 1083_2	ZHel1083	MÃ¤chler	FOLKER	2	automatic	[476536,499674)	[1117314,1184340)	{"audio": "1083_2.wav"}
13	Transcription 1083_3	ZHel1083	MÃ¤chler	FOLKER	2	automatic	[499674,504697)	[1184340,1198527)	{"audio": "1083_3.wav"}
14	Transcription 1087_1	AMor1087	MÃ¤chler	FOLKER	2	automatic	[504697,531493)	[1198527,1265161)	{"audio": "1087_1.wav"}
15	Transcription 1087_2	AMor1087	MÃ¤chler	FOLKER	2	automatic	[531493,549081)	[1265161,1310291)	{"audio": "1087_2.wav"}
