form_id	form
1	chönd
2	sii
3	iri
4	jugendziit
5	beschriibe
6	jaa
7	ich
8	wän
9	das
10	geboore
11	bì
12	
13	s
14	ìch
15	bin
16	am
17	sächsezwänzgischte
18	jänner
19	nünzehundertzwölf
20	gibore
21	und
22	zwaar
23	ììch
24	i/
25	in
26	wolfeschiesse
27	mii
28	vatter
29	mi
30	mueter
31	sind
32	wolfeschiesser
33	bürger
34	gsi
35	deen
36	mit
37	füüf
38	jaare
39	sim
40	mir
41	nach
42	schtans
43	cho
44	daa
45	i
46	d
47	schuel
48	sächs
49	jaar
50	het
51	mer
52	müesse
53	pünteli
54	phaken
55	sis
56	broot
57	verdiene
58	isch
59	zääte
60	chind
61	gschtorbe
62	ja
63	de
64	füfze
65	järig
66	gsii
67	wo
68	si
69	gschtorben
70	huishalt
71	uufglööst
72	alli
73	di
74	chliine
75	gschwüschterti
76	zu
77	verwante
78	choo
79	bi
80	zeersch
81	miner
82	gsìì
83	schtärbebet
84	wil
85	gad
86	z
87	schtanz
88	schoo
89	innere
90	schteu
91	ùnd
92	hebam
93	prichtet
94	schwäär
95	mues
96	schtäärbe
97	zw/
98	zwee
99	wuche
100	der
101	geburt
102	nä
103	schpitaal
104	han
105	verschpräche
106	miesse
107	e
108	käs
109	is
110	waissehuis
111	tiegid
112	zämeschtaa
113	im
114	hälffe
115	fir
116	die
117	zaale
118	häm
119	verschproche
120	da
121	füfti
122	bueben
123	denaa
124	maitli
125	wider
126	bueb
127	es
128	maitschi
129	wuchen
130	nachhär
131	guet
132	uifglööst
133	miir
134	hend
135	niit
136	chänne
137	me
138	hai
139	aifach
140	woo
141	chennen
142	us
143	go
144	verdienä
145	haiggä
146	was
147	loon
148	ghaa
149	zää
150	franke
151	monet
152	choscht
153	schlaafe
154	ùùnd
155	mini
156	maischtersliit
157	duezmaal
158	ggää
159	für
160	drii
161	vier
162	no
163	choschtgält
164	zaalt
165	uund
166	so
167	ziit
168	f/
169	chli
170	weniger
171	woorde
172	òü
173	miessen
174	en
175	andere
176	schtel
177	aanää
178	är
179	ufere
180	saagi
181	er
182	gschaffet
183	won
184	chenne
185	loschii
186	haa
187	famili
188	als
189	usenandchoo
190	tante
191	glòüb
192	echli
193	organisiert
194	uf
195	al
196	fäl
197	aabig
198	alles
199	furt
200	seer
201	schèèni
202	sache
203	praacht
204	vo
205	iirer
206	mitgno
207	alti
208	komoode
209	schränkli
210	tracht
211	trait
212	achzehundertsibenesibezg
213	soo
214	halt
215	vil
216	aifacht
217	verloore
218	ggange
219	gaar
220	nid
221	wüssed
222	wos
223	hìì
224	näüchiuch
225	bimene
226	groosse
227	puir
228	mälcher
229	äär
230	dihaimen
231	uis
232	puirebueb
233	ggangen
234	schtelle
235	bis
236	zwänzgi
237	mim
238	nie
239	rappe
240	gsee
241	daas
242	händ
243	huishaltschtelle
244	aso
245	ai
246	g/
247	glii
248	dem
249	gschtoorbe
250	jemand
251	waiss
252	wäär
253	gsait
254	sèl
255	nüüägeri
256	gaa
257	deet
258	sig
259	schpinneri
260	det
261	chen
262	schaffe
263	medchenhaim
264	vonnere
265	chlooschterfròü
266	glaitet
267	chenn
268	ässen
269	schlaaffe
270	sait
271	doch
272	härrlich
273	scho
274	firnes
275	chummer
276	do
277	/i
278	ne
279	dette
280	näüägeri
281	hät
282	tèrffe
283	fabrik
284	doo
285	achzäni
286	nämid
287	dich
288	ez
289	aber
290	dui
291	muesch
292	suntig
293	chrischteleer
294	tarfsch
295	aamälde
296	schüsch
297	märkid
298	as
299	mis
300	äbe
301	jung
302	bisch
303	hets
304	eso
305	gfalle
306	ö̀ü
307	mache
308	über
309	jüngschti
310	wischen
311	träk
312	ainisch
313	zum
314	tiräkter
315	ha
316	wische
317	haimen
318	mècht
319	aarbet
320	hat
321	eppis
322	bringi
323	mies
324	em
325	minderjäärigi
326	haig
327	verschprochen
328	dää
329	a
330	esoon
331	fräüd
332	gha
333	gluegt
334	an
335	maschine
336	mitere
337	eltere
338	fräue
339	mììch
340	wie
341	mietere
342	mich
343	den
344	nachegnoo
345	scheen
346	verdienet
347	glüklich
348	pliib
349	amel
350	hani
351	pliibe
352	äs
353	alig
354	wemme
355	pliibt
356	schlächte
357	karakter
358	wenigisch
359	womme
360	bliibt
361	sigs
362	oder
363	schlächt
364	huishaltig
365	hushalt
366	gärtnerii
367	iich
368	littau
369	na
370	zletscht
371	bekerei
372	zwaije/
373	alt
374	ghüraate
375	hemmer
376	isi
377	jingschté
378	versoorgt
379	öppe
380	gnoo
381	feeri
382	plibe
383	min
384	maa
385	gleert
386	kenne
387	rozloch
388	schriinerii
389	roz
390	sibeze
391	drììssgi
392	zwaijezwänzgi
393	tuen
394	hüraate
395	simmer
396	amen
397	oort
398	dehaime
399	d/
400	sägid
401	hüt
402	gend
403	wen
404	üüs
405	chemid
406	schwöschter
407	uisgwanderet
408	ameerika
409	aini
410	òüschtraalie
411	dene
412	baidne
413	haichoo
414	aint
415	nur
416	jinger
417	anderi
418	geschter
419	viere/
420	dachzgi
421	auschtraalie
422	immer
423	kontakt
424	troz
425	allem
426	zämehaa
427	immer/
428	nuur
429	enand
430	jüngscht
431	brieder
432	achtjäärig
433	gschtoorben
434	füfzg
435	zääti
436	miest
437	hit
438	nümme
439	he
440	mee
441	rekruiteschuel
442	gäld
443	psueche
444	dä
445	däsch
446	schpeeter
447	wäggis
448	tannebärg
449	bimen
450	onkel
451	knächt
452	schwinget
453	söön
454	chum
455	chasch
456	mitis
457	he/
458	is/
459	uifgsuecht
460	morgen
461	sibni
462	chile
463	tänkt
464	dasch
465	äaine
466	wi
467	ganz
468	wiissblondi
469	haar
470	jingschte
471	ha/
472	dän
473	zur
474	chilen
475	blondi
476	hinder
477	nachen
478	wommer
479	huis
480	ine
481	nachecho
482	glüüte
483	gäl
484	du
485	men
486	fascht
487	ali
488	würklich
489	vertailt
490	e/
491	körperkontakt
492	neecher
493	vili
494	iis
495	gschpaart
496	emal
497	welle
498	zwai
499	ainte
500	gschribe
501	zaalidich
502	rais
503	wenner
504	luege
505	wimers
506	uirner
507	groossi
508	farm
509	sich
510	uifegschaffet
511	miteme
512	motel
513	mitenand
514	gfüert
515	oberschg/
516	schenkelhals
517	proche
518	jünger
519	gaatere
520	oordeli
521	baide
522	schwöschteren
523	uusgwanderet
524	welne
525	baidi
526	muesi
527	säge
528	füfefüfzg
529	gliiche
530	weles
531	vor
532	sächsevierzg
533	grad
534	chrieg
535	fal
536	chliini
537	ander
538	kaini
539	änge
540	öü
541	junge
542	diissi
543	tochter
544	jungen
545	eutere
546	mou
547	wält
548	nimme
549	grooss
550	erscht
551	maal
552	dure
553	jesses
554	maria
555	erläb
556	nit
557	noiägeri
558	schpinnerai
559	gs/
560	ezte
561	wais
562	ep
563	eggsischtiert
564	dernaa
565	unterägeri
566	näügeri
567	eppe
568	drissg
569	mänzige
570	gchochet
571	imen
572	internaat
573	schpaziere
574	zwaije
575	hooch
576	haim
577	arbet
578	mh
579	lieber
580	ergää
581	genäu
582	möse
583	machen
584	däre
585	hem
586	waar
587	watteform
588	ufene
589	hö/
590	schpuele
591	chliineri
592	faadeschlaag
593	gloffe
594	glük
595	hane
596	rächt
597	langi
598	aarm
599	w/
600	um
601	maschinen
602	ume
603	probiert
604	fääden
605	abgsii
606	aazseze
607	nää
608	finger
609	ane
610	u/
611	walze
612	sezen
613	nu/
614	hesch
615	glik
616	arm
617	uisrichte
618	aaseze
619	schtuel
620	schtil
621	gschanden
622	tiki
623	churzaarmig
624	siite
625	chaschmer
626	durch
627	dass
628	due
629	anechoo
630	zirka
631	achzg
632	nünzg
633	ablifere
634	laischitgsabhängige
635	akord
636	zelt
637	ufgschribe
638	wivil
639	schtund
640	wi/
641	fürne
642	laischtig
643	òüfseer
644	viermal
645	verbii
646	eb
647	macht
648	müe
649	natierli
650	gliklich
651	dère
652	paar
653	fränkli
654	schpaare
655	acht
656	dee
657	uissland
658	wes
659	ä
660	friener
661	fasch
662	käni
663	löön
664	hafner
665	kai
666	vermöge
667	apsoluit
668	mììr
669	wir
670	jeregot
671	allernöötigisch
672	esoo
673	firaabig
674	bimmene
675	maischter
676	fifze
677	aarbaiter
678	regierigsraat
679	sövǜu
680	voorabaiter
681	gschpilt
682	seen
683	schriiner
684	glèèrt
685	lèèr
686	ire
687	s/
688	ghüraaten
689	sächsedrii/
690	vierdriissgi
691	nüüne/
692	sächsedriissgi
693	driijäärig
694	gwüsst
695	ass
696	chunt
697	gsaait
698	gfasst
699	wens
700	git
701	k/
702	sèèr
703	kriisejaar
704	wenig
705	anders
706	tornischter
707	paraat
708	naa
709	kabut
710	uifpunde
711	eerschte
712	taag
713	mobiilmachig
714	morged
715	ainhait
716	münd
717	batalioon
718	nidwaltner
719	batelioon
720	dö/
721	bim
722	landscht/
723	landweerbatelioon
724	döt
725	hundert
726	achti
727	hundertachti
728	hundertsibenevierzgi
729	ä/
730	dùe
731	ò
732	gäg
733	vierzge
734	viererjaargang
735	fifedriissgi
736	aines
737	morgens
738	gheert
739	m/
740	marschmusig
741	lòüf
742	raadio
743	marschplatten
744	radioo
745	eson
746	alte
747	ghai/
748	täl
749	ghaisse
750	gseene
751	jez
752	chòüffe
753	par
754	uiftaa
755	gfalt
756	gseet
757	phunkt
758	zwölfi
759	gh/
760	sändig
761	schwaizerische
762	bundesraat
763	mobiilmachung
764	bekant
765	gegeeben
766	firme
767	buechs
768	uiferen
769	hen
770	innenuisbui
771	muess
772	morn
773	moorge
774	gaan
775	namitaag
776	wäärchzüüg
777	zämephake
778	wenigschtens
779	neetigisch
780	gmacht
781	urlòüb
782	wiitersch
783	gaat
784	milidäär
785	zimmli
786	sicher
787	buechsig
788	her
789	tokter
790	odermat
791	innen
792	uisbuu
793	siis
794	gschäft
795	iigrukt
796	nichts
797	gschtande
798	när
799	zèèrsch
800	mach
801	bekerii
802	näb
803	letschti
804	fäldwaibu
805	iiruke
806	dèren
807	duu
808	tue
809	frendi
810	liit
811	gflikt
812	glismet
813	scheeni
814	ganzi
815	rökli
816	sogaar
817	blüüsli
818	ziig
819	ebe
820	buze
821	froo
822	z/
823	wiil
824	usse
825	kasärne
826	son
827	hütli
828	kiosk
829	psorgsch
830	zmitaag
831	set
832	uber
833	mitaag
834	häre
835	eppen
836	vom
837	ölfi
838	ais
839	chan
840	mitnää
841	welo
842	halbisächsi
843	aa
844	biss
845	letscht
846	dinnen
847	cha
848	znacht
849	wäärde
850	offe
851	bek
852	bringt
853	l/
854	lòüffend
855	grossi
856	chueche
857	rundi
858	blääch
859	epfelchueche
860	zwätschegechueche
861	sämtlichi
862	militäärartikel
863	chaarte
864	militäärchaarte
865	buzschtök
866	militäärsek
867	brootsek
868	süessikaite
869	schoggelaade
870	nor
871	ängebäärgerschtraass
872	gwont
873	woonig
874	driizimmerwoonig
875	füf
876	elter
877	weder
878	ise
879	allig
880	züenem
881	hends
882	chöchi
883	hete
884	bet
885	taa
886	aabid
887	herschaft
888	dorfplaz
889	glost
890	schlaaft
891	tänked
892	soorge
893	ächt
894	lòüft
895	wonig
896	umenand
897	tunklen
898	amig
899	angscht
900	aal
901	afig
902	wiiterggange
903	ziitig
904	uisgschribe
905	haiged
906	zwenig
907	underkümft
908	underofizier
909	wemmen
910	irgend
911	vorigs
912	dienscht
913	niijaar
914	entlasse
915	hundertvierz/
916	hundertvier/
917	hundertfiifevierzgi
918	teritoriaalbatelioon
919	altersmäässig
920	umtailt
921	worde
922	nüüjaar
923	nünzevierzg
924	miich
925	gmäldet
926	unterkümft
927	aabiete
928	schlaaffzimmer
929	iisers
930	eeschlaafzimmer
931	heig
932	schlaafzimmer
933	vermietet
934	chääm
935	pro
936	nacht
937	franken
938	zurgggschribe
939	schöön
940	möchti
941	basler
942	uurlaub
943	iisi
944	umbette
945	iises
946	zimmer
947	dritte
948	wien
949	gautsch
950	richtigs
951	chinderbet
952	groosses
953	chinderbettli
954	überchoo
955	gang
956	inne
957	uu/
958	fäldwaibel
959	umfal
960	falschirm
961	abgschprungen
962	fuess
963	verlezt
964	chened
965	impeere
966	chented
967	nuze
968	ir
969	cheneds
970	sold
971	gönt
972	haibringe
973	läbid
974	läbesmittelcharte
975	echlii
976	anke
977	pruicht
978	choche
979	uirlaub
980	mezger
981	mezgerei
982	wirtschaft
983	hoochbetriib
984	inen
985	gleser
986	schpiele
987	hanne
988	mezgerwesch
989	züüg
990	uisghulffe
991	befründet
992	schens
993	schtükli
994	flaisch
995	dasmer
996	achs/
997	achtevierzg/
998	sächsevierzgi
999	schtudiere
1000	naai
1001	roosmarii
1002	ireen
1003	zwaijevierzgi
1004	rosmarii
1005	vierevierzgi
1006	wärend
1007	ibercho
1008	baasler
1009	iikwartiert
1010	furier
1011	lüüt
1012	nätti
1013	sseer
1014	schlüssel
1015	uissenuufe
1016	hiisli
1017	schtaat
1018	uissenuufen
1019	schtäge
1020	rächts
1021	ires
1022	schlaafzimer
1023	morge
1024	mängisch
1025	frie
1026	gwäsche
1027	chuchi
1028	niene
1029	baad
1030	tuschi
1031	dùezmaal
1032	hüüsli
1033	weezee
1034	tröögli
1035	siich
1036	deete
1037	chalt
1038	warm
1039	wasser
1040	plumps
1041	kloset
1042	gwisst
1043	zfride
1044	jedem
1045	tiechli
1046	anghänkt
1047	dena
1048	better
1049	aafang
1050	tüeg
1051	pettet
1052	chuim
1053	schue
1054	sälber
1055	puzt
1056	glòübe
1057	bund
1058	zuegschik/
1059	zuegschikt
1060	waissi
1061	zimmergäld
1062	erinnere
1063	mai
1064	hittler
1065	frankriich
1066	überfalle
1067	schtruub
1068	siner
1069	wohii
1070	miemmer
1071	n/
1072	je
1073	bräntschilig
1074	nai
1075	nüüechilch
1076	aimaal
1077	schlim
1078	beraitschtellig
1079	òüto
1080	eine
1081	nooch
1082	schuelhuis
1083	gwoont
1084	dier
1085	chlopfen
1086	schalisii
1087	kä
1088	miim
1089	zäme
1090	gchlopfet
1091	passiert
1092	ängelbärg
1093	gfaare
1094	bluemeschtek
1095	bluemechischtli
1096	möglichs
1097	obe
1098	läbe
1099	che/
1100	chenned
1101	rette
1102	üiflade
1103	noijechilch
1104	wacht
1105	imene
1106	schtal
1107	siged
1108	manne
1109	pääget
1110	gits
1111	mümmer
1112	brueder
1113	chlöüs
1114	hand
1115	uuftaa
1116	ofizier
1117	tüütschi
1118	behòüptet
1119	haigets
1120	fäärnsee
1121	ghöört
1122	tieged
1123	behòüpte
1124	waarhait
1125	verschoont
1126	wemmer
1127	ängi
1128	ängpäss
1129	hert
1130	äu
1131	we/
1132	uiliidig
1133	gfluechet
1134	tiitsch
1135	huere
1136	nidwaldner
1137	kais
1138	wieschts
1139	wort
1140	woortschaz
1141	gmuilet
1142	gots
1143	name
1144	müend
1145	wääred
1146	afaa
1147	gschäfte
1148	gfüül
1149	besseri
1150	ziite
1151	riiche
1152	uise
1153	gschpaaret
1154	uif
1155	ùù/
1156	schränken
1157	bank
1158	inweschtiere
1159	tiend
1160	infeschtiere
1161	gringer
1162	gaats
1163	niid
1164	tiemmer
1165	aafönd
1166	wärchschtat
1167	wagner
1168	kennid
1169	franz
1170	ghaissen
1171	nimmen
1172	wonner
1173	uurläub
1174	ghat/
1175	täätisch
1176	verleene
1177	übernää
1178	chòüfflich
1179	nim
1180	ichs
1181	uuralt
1182	transmissioonsrieme
1183	weme
1184	me/
1185	rieme
1186	wägnä
1187	bankwärchschtat
1188	oni
1189	haizig
1190	gmietet
1191	haize
1192	gschpire
1193	aagfange
1194	wäärid
1195	gält
1196	gusẽẽ
1197	dèè
1198	bärn
1199	ledige
1200	ober/
1201	ischt
1202	oberzol
1203	tiräkzioon
1204	hööchersch
1205	los
1206	eduard
1207	tichtige
1208	tu
1209	wotsch
1210	sälbschtändig
1211	ch/
1212	diich
1213	sigfrid
1214	wet
1215	holz
1216	gäut
1217	fiif
1218	sächstuusig
1219	hetems
1220	zumene
1221	bankziis
1222	verziiset
1223	wǜu
1224	ziis
1225	umegää
1226	miin
1227	ma/maa
1228	gwissne
1229	schtolz
1230	dä/
1231	gusäng
1232	schwigervatter
1233	isch/
1234	eerscht
1235	zrugg
1236	gää
1237	gseesch
1238	ärbschliicher
1239	mes
1240	wirklich
1241	gotsname
1242	ufgebot
1243	bichoo
1244	uifgebot
1245	wuchelang
1246	nächt
1247	duregschaffet
1248	bikant
1249	tichtig
1250	iberaal
1251	e***
1252	früsch
1253	fròüechlooschter
1254	frai
1255	fürscht
1256	bürgeschtok
1257	gangen
1258	aafaa
1259	iir
1260	tankbaar
1261	aafänger
1262	militäär
1263	machich
1264	kontozaalig
1265	retuurzaale
1266	de/
1267	ässe
1268	härt
1269	fertig
1270	leerling
1271	maischterprüffig
1272	luzärn
1273	aabigkürs
1274	wind
1275	wätter
1276	schnee
1277	miese
1278	luzäärn
1279	mitchoo
1280	dir
1281	tüet
1282	schuelbildig
1283	sekundaarschuel
1284	pruefsschuel
1285	mindeschtens
1286	miends
1287	pirmaarschuel
1288	müesch
1289	dìch
1290	schäme
1291	leersch
1292	dihaime
1293	hilf
1294	dueder
1295	fròü
1296	daameschniideri
1297	fraije
1298	handarbaitschuel
1299	zvoorderscht
1300	gsässe
1301	wird
1302	mid
1303	sägen
1304	hère
1305	heecheri
1306	miend
1307	uifzelt
1308	zwölf
1309	drize
1310	pungg
1311	schuelbank
1312	off
1313	jajaa
1314	hintere
1315	zhinderscht
1316	devoore
1317	phòüse
1318	kriempach
1319	chenid
1320	wirtschäftli
1321	öppis
1322	trinke
1323	giengs
1324	wiiter
1325	vergässe
1326	gmärkt
1327	gibe
1328	gmerkt
1329	nähär
1330	dehaim
1331	chunsch
1332	allerlai
1333	tuesch
1334	briefe
1335	schriiben
1336	tuescht
1337	ii/
1338	ding
1339	verdanke
1340	uifträäg
1341	machsch
1342	schriibsch
1343	rächne
1344	ainzig
1345	gueti
1346	uifsäz
1347	schrììbe
1348	kaniissi
1349	leerer
1350	apezäller
1351	sch
1352	verbiigloffen
1353	we
1354	druifglängt
1355	zhilf
1356	gfragt
1357	nacher
1358	hanen
1359	iigladen
1360	ame
1361	kafé
1362	leereri
1363	dezue
1364	schniideri
1365	siig
1366	wül
1367	gfraagt
1368	wär
1369	tuet
1370	derhaime
1371	soon
1372	sibe
1373	sus
1374	miinewärffer
1375	iigsezt
1376	näüs
1377	supper
1378	schenii
1379	sch/
1380	schiints
1381	grads
1382	guete
1383	schüz
1384	schiess/
1385	lize/
1386	gschosse
1387	epper
1388	henden
1389	verèèrt
1390	praicht
1391	chaa
1392	waisch
1393	preziisi
1394	troffe
1395	wenn
1396	intressant
1397	messen
1398	kurs
1399	miess
1400	äggstra
1401	had
1402	susch
1403	raizt
1404	mìch
1405	ezt
1406	oberlüütnant
1407	zellit
1408	dru/
1409	/if
1410	hendsem
1411	korporaal
1412	gääre
1413	adjudant
1414	bi/
1415	da/
1416	nime
1417	aha
1418	unterofizier
1419	bekrämst
1420	gfriite
1421	b/
1422	uiszaichnig
1423	soldaat
1424	dernaae
1425	fräüt
1426	schtroo
1427	ligge
1428	zuetailt
1429	uberchoo
1430	maischte
1431	h/
1432	ischem
1433	wüür
1434	intressiere
1435	chriegsveläuf
1436	polittischen
1437	eraignis
1438	mitbichoo
1439	mitbechoo
1440	kainer
1441	poliitik
1442	totaal
1443	liberaale
1444	hättet
1445	mituberchoo
1446	hischtorisch
1447	vera/
1448	verain
1449	rede
1450	verzelle
